block_id,candidate_id,method,depth,width,batch_size,model_seed,device_time_ratio_to_baseline,host_time_ratio_to_baseline,peak_allocated_ratio_to_baseline,peak_reserved_ratio_to_baseline,saved_tensor_bytes_ratio_to_baseline,state_vjp_calls_ratio_to_baseline,graph_span_ratio_to_baseline,dependency_radius_ratio_to_baseline,device_time_reduction,device_speedup,peak_allocated_growth,peak_reserved_growth,candidate_observer_cost_ms,baseline_observer_cost_ms,fallback_validation_status
s3b-block-48bf63ad14fc2bc1ff7a,composite_vjp,fixedpred,16,256,64,72,1.1370872603707605,1.137179083480316,1.0,1.0,5.079856484106007,0.0625,16.0,1.0,-0.13708726037076047,0.87943998218214,0.0,0.0,10.478181838989258,79.60245323181152,not_applicable_before_ex_if0
s3b-block-4bfe422a2c01b57a2405,isolated_layer_vjp,strict,4,64,64,71,1.2687431461532495,1.2687640490289613,0.7484816567264739,0.7509727626459144,1.1223511783663689,1.0,1.0,1.0,-0.26874314615324946,0.7881815976952766,-0.25151834327352607,-0.2490272373540856,38.397268295288086,39.629356384277344,not_applicable_before_ex_if0
s3b-block-4bfe422a2c01b57a2405,composite_vjp,strict,4,64,64,71,1.0986259353595695,1.0986597287861142,0.7490729887761919,0.7509727626459144,1.1223511783663689,0.3333333333333333,3.0,1.0,-0.09862593535956954,0.91022791999964,-0.2509270112238081,-0.2490272373540856,14.537428855895996,39.629356384277344,not_applicable_before_ex_if0
s3b-block-4f8c6d282d71e7150305,isolated_layer_vjp,fixedpred,8,256,64,70,1.617414383972585,1.6175221193150204,1.0,1.0,5.302896708600731,1.0,1.0,1.0,-0.617414383972585,0.61827074737883,0.0,0.0,44.48139476776123,41.255866050720215,not_applicable_before_ex_if0
s3b-block-4f8c6d282d71e7150305,composite_vjp,fixedpred,8,256,64,70,1.1589270016269586,1.1587999923875099,1.0,1.0009861932938855,5.302896708600731,0.125,8.0,1.0,-0.1589270016269586,0.8628671163896872,0.0,0.0009861932938854956,9.123948097229004,41.255866050720215,not_applicable_before_ex_if0
s3b-block-4fc6a712eae99f7492f7,isolated_layer_vjp,fixedpred,16,256,256,70,1.6394350025401947,1.6394932599762413,0.9998361850848583,0.9968541093197011,4.461869839964984,1.0,1.0,1.0,-0.6394350025401947,0.6099662374236045,-0.00016381491514172453,-0.003145890680298913,86.6583251953125,78.92582893371582,not_applicable_before_ex_if0
s3b-block-4fc6a712eae99f7492f7,composite_vjp,fixedpred,16,256,256,70,1.095124312183111,1.095103077188594,1.0017990756423623,1.0007864726700748,4.461869839964984,0.0625,16.0,1.0,-0.0951243121831109,0.9131383431772396,0.0017990756423622578,0.0007864726700748115,10.903528213500977,78.92582893371582,not_applicable_before_ex_if0
s3b-block-50d43d8828871a666303,isolated_layer_vjp,fixedpred,32,256,64,72,1.6586466525280366,1.658606044770931,1.0,0.9979508196721312,4.968458890784064,1.0,1.0,1.0,-0.6586466525280366,0.6029011655230146,0.0,-0.002049180327868827,174.48373413085938,158.45668411254883,not_applicable_before_ex_if0
s3b-block-50d43d8828871a666303,composite_vjp,fixedpred,32,256,64,72,1.0763010152856747,1.076221647456044,1.0,1.0,4.968458890784064,0.03125,32.0,1.0,-0.07630101528567468,0.9291081080459422,0.0,0.0,13.960395812988281,158.45668411254883,not_applicable_before_ex_if0
s3b-block-5203a4d44e3a2f436ffe,isolated_layer_vjp,strict,32,256,64,71,1.3258997600925702,1.3258468546965172,0.9357400934080713,0.9386519944979367,1.0059674151225053,1.0,1.0,1.0,-0.32589976009257016,0.7542048276184794,-0.0642599065919287,-0.06134800550206332,352.4737854003906,366.3610382080078,not_applicable_before_ex_if0
