dataset,model,checkpoint_label,model_seed,method,layer,metric,value,n_observations,n_missing
FashionMNIST,lenet_classic,final,4,strict,4,cosine,0.92000687899417455,5,0
FashionMNIST,lenet_classic,final,4,strict,4,norm_ratio,0.30469779836973954,5,0
FashionMNIST,lenet_classic,final,4,strict,4,relative_l2,0.72939785687880654,5,0
FashionMNIST,lenet_classic,final,4,strict,4,sign_agreement,0.86143250688705231,5,0
FashionMNIST,lenet_classic,final,4,strict,5,cosine,0.99999880656199147,5,0
FashionMNIST,lenet_classic,final,4,strict,5,norm_ratio,0.99853119166194448,5,0
FashionMNIST,lenet_classic,final,4,strict,5,relative_l2,0.0021294827684089799,5,0
FashionMNIST,lenet_classic,final,4,strict,5,sign_agreement,0.999764705882353,5,0
FashionMNIST,lenet_classic,final,5,exact,0,cosine,1,5,0
FashionMNIST,lenet_classic,final,5,exact,0,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,5,exact,0,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,5,exact,0,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,5,exact,1,cosine,1,5,0
FashionMNIST,lenet_classic,final,5,exact,1,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,5,exact,1,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,5,exact,1,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,5,exact,3,cosine,0.99999999999998934,5,0
FashionMNIST,lenet_classic,final,5,exact,3,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,5,exact,3,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,5,exact,3,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,5,exact,4,cosine,0.99999999999999878,5,0
FashionMNIST,lenet_classic,final,5,exact,4,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,5,exact,4,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,5,exact,4,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,5,exact,5,cosine,1,5,0
FashionMNIST,lenet_classic,final,5,exact,5,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,5,exact,5,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,5,exact,5,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,5,fixedpred,0,cosine,0.99749801534176452,5,0
FashionMNIST,lenet_classic,final,5,fixedpred,0,norm_ratio,0.0008605576470792801,5,0
FashionMNIST,lenet_classic,final,5,fixedpred,0,relative_l2,0.99914159695662619,5,0
FashionMNIST,lenet_classic,final,5,fixedpred,0,sign_agreement,0.94230769230769229,5,0
FashionMNIST,lenet_classic,final,5,fixedpred,1,cosine,0.99993340994121949,5,0
FashionMNIST,lenet_classic,final,5,fixedpred,1,norm_ratio,0.0083088942549044802,5,0
FashionMNIST,lenet_classic,final,5,fixedpred,1,relative_l2,0.99169166353405314,5,0
FashionMNIST,lenet_classic,final,5,fixedpred,1,sign_agreement,0.99677152317880802,5,0
FashionMNIST,lenet_classic,final,5,fixedpred,3,cosine,0.99999992371586122,5,0
